type1,type2,weight_kg,generation,is_legendary
grass,poison,6.9,1,0
grass,poison,13,1,0
grass,poison,100,1,0
fire,,8.5,1,0
fire,,19,1,0
fire,flying,90.5,1,0
water,,9,1,0
water,,22.5,1,0
water,,85.5,1,0
bug,,2.9,1,0
bug,,9.9,1,0
bug,flying,32,1,0
bug,poison,3.2,1,0
bug,poison,10,1,0
bug,poison,29.5,1,0
normal,flying,1.8,1,0
normal,flying,30,1,0
normal,flying,39.5,1,0
normal,dark,,1,0
normal,dark,,1,0
normal,flying,2,1,0
normal,flying,38,1,0
poison,,6.9,1,0
poison,,65,1,0
electric,,6,1,0
electric,electric,,1,0
ground,ice,,1,0
ground,ice,,1,0
poison,,7,1,0
poison,,20,1,0
poison,ground,60,1,0
poison,,9,1,0
poison,,19.5,1,0
poison,ground,62,1,0
fairy,,7.5,1,0
fairy,,40,1,0
fire,ice,,1,0
fire,ice,,1,0
normal,fairy,5.5,1,0
normal,fairy,12,1,0
poison,flying,7.5,1,0
poison,flying,55,1,0
grass,poison,5.4,1,0
grass,poison,8.6,1,0
grass,poison,18.6,1,0
bug,grass,5.4,1,0
bug,grass,29.5,1,0
bug,poison,30,1,0
bug,poison,12.5,1,0
ground,ground,,1,0
ground,ground,,1,0
normal,dark,,1,0
normal,dark,,1,0
water,,19.6,1,0
water,,76.6,1,0
fighting,,28,1,0
fighting,,32,1,0
fire,,19,1,0
fire,,155,1,0
water,,12.4,1,0
water,,20,1,0
water,fighting,54,1,0
psychic,,19.5,1,0
psychic,,56.5,1,0
psychic,,48,1,0
fighting,,19.5,1,0
fighting,,70.5,1,0
fighting,,130,1,0
grass,poison,4,1,0
grass,poison,6.4,1,0
grass,poison,15.5,1,0
water,poison,45.5,1,0
water,poison,55,1,0
rock,ground,,1,0
rock,ground,,1,0
rock,ground,,1,0
fire,,30,1,0
fire,,95,1,0
water,psychic,36,1,0
water,psychic,78.5,1,0
electric,steel,6,1,0
electric,steel,60,1,0
normal,flying,15,1,0
normal,flying,39.2,1,0
normal,flying,85.2,1,0
water,,90,1,0
water,ice,120,1,0
poison,poison,,1,0
poison,poison,,1,0
water,,4,1,0
water,ice,132.5,1,0
ghost,poison,0.1,1,0
ghost,poison,0.1,1,0
ghost,poison,40.5,1,0
rock,ground,210,1,0
psychic,,32.4,1,0
psychic,,75.6,1,0
water,,6.5,1,0
water,,60,1,0
electric,,10.4,1,0
electric,,66.6,1,0
grass,psychic,2.5,1,0
grass,psychic,,1,0
ground,,6.5,1,0
ground,fire,,1,0
fighting,,49.8,1,0
fighting,,50.2,1,0
normal,,65.5,1,0
poison,,1,1,0
poison,,9.5,1,0
ground,rock,115,1,0
ground,rock,120,1,0
normal,,34.6,1,0
grass,,35,1,0
normal,,80,1,0
water,,8,1,0
water,,25,1,0
water,,15,1,0
water,,39,1,0
water,,34.5,1,0
water,psychic,80,1,0
psychic,fairy,54.5,1,0
bug,flying,56,1,0
ice,psychic,40.6,1,0
electric,,30,1,0
fire,,44.5,1,0
bug,,55,1,0
normal,,88.4,1,0
water,,10,1,0
water,flying,235,1,0
water,ice,220,1,0
normal,,4,1,0
normal,,6.5,1,0
water,,29,1,0
electric,,24.5,1,0
fire,,25,1,0
normal,,36.5,1,0
rock,water,7.5,1,0
rock,water,35,1,0
rock,water,11.5,1,0
rock,water,40.5,1,0
rock,flying,59,1,0
normal,,460,1,0
ice,flying,55.4,1,1
electric,flying,52.6,1,1
fire,flying,60,1,1
dragon,,3.3,1,0
dragon,,16.5,1,0
dragon,flying,210,1,0
psychic,,122,1,1
psychic,,4,1,1
grass,,6.4,2,0
grass,,15.8,2,0
grass,,100.5,2,0
fire,,7.9,2,0
fire,,19,2,0
fire,,79.5,2,0
water,,9.5,2,0
water,,25,2,0
water,,88.8,2,0
normal,,6,2,0
normal,,32.5,2,0
normal,flying,21.2,2,0
normal,flying,40.8,2,0
bug,flying,10.8,2,0
bug,flying,35.6,2,0
bug,poison,8.5,2,0
bug,poison,33.5,2,0
poison,flying,75,2,0
water,electric,12,2,0
water,electric,22.5,2,0
electric,,2,2,0
fairy,,3,2,0
normal,fairy,1,2,0
fairy,,1.5,2,0
fairy,flying,3.2,2,0
psychic,flying,2,2,0
psychic,flying,15,2,0
electric,,7.8,2,0
electric,,13.3,2,0
electric,,61.5,2,0
grass,,5.8,2,0
water,fairy,8.5,2,0
water,fairy,28.5,2,0
rock,,38,2,0
water,,33.9,2,0
grass,flying,0.5,2,0
grass,flying,1,2,0
grass,flying,3,2,0
normal,,11.5,2,0
grass,,1.8,2,0
grass,,8.5,2,0
bug,flying,38,2,0
water,ground,8.5,2,0
water,ground,75,2,0
psychic,,26.5,2,0
dark,,27,2,0
dark,flying,2.1,2,0
water,psychic,79.5,2,0
ghost,,1,2,0
psychic,,5,2,0
psychic,,28.5,2,0
normal,psychic,41.5,2,0
bug,,7.2,2,0
bug,steel,125.8,2,0
normal,,14,2,0
ground,flying,64.8,2,0
steel,ground,400,2,0
fairy,,7.8,2,0
fairy,,48.7,2,0
water,poison,3.9,2,0
bug,steel,118,2,0
bug,rock,20.5,2,0
bug,fighting,54,2,0
dark,ice,28,2,0
normal,,8.8,2,0
normal,,125.8,2,0
fire,,35,2,0
fire,rock,55,2,0
ice,ground,6.5,2,0
ice,ground,55.8,2,0
water,rock,5,2,0
water,,12,2,0
water,,28.5,2,0
ice,flying,16,2,0
water,flying,220,2,0
steel,flying,50.5,2,0
dark,fire,10.8,2,0
dark,fire,35,2,0
water,dragon,152,2,0
ground,,33.5,2,0
ground,,120,2,0
normal,,32.5,2,0
normal,,71.2,2,0
normal,,58,2,0
fighting,,21,2,0
fighting,,48,2,0
ice,psychic,6,2,0
electric,,23.5,2,0
fire,,21.4,2,0
normal,,75.5,2,0
normal,,46.8,2,0
electric,,178,2,1
fire,,198,2,1
water,,187,2,1
rock,ground,72,2,0
rock,ground,152,2,0
rock,dark,202,2,0
psychic,flying,216,2,1
fire,flying,199,2,1
psychic,grass,5,2,1
grass,,5,3,0
grass,,21.6,3,0
grass,,52.2,3,0
fire,,2.5,3,0
fire,fighting,19.5,3,0
fire,fighting,52,3,0
water,,7.6,3,0
water,ground,28,3,0
water,ground,81.9,3,0
dark,,13.6,3,0
dark,,37,3,0
normal,,17.5,3,0
normal,,32.5,3,0
bug,,3.6,3,0
bug,,10,3,0
bug,flying,28.4,3,0
bug,,11.5,3,0
bug,poison,31.6,3,0
water,grass,2.6,3,0
water,grass,32.5,3,0
water,grass,55,3,0
grass,,4,3,0
grass,dark,28,3,0
grass,dark,59.6,3,0
normal,flying,2.3,3,0
normal,flying,19.8,3,0
water,flying,9.5,3,0
water,flying,28,3,0
psychic,fairy,6.6,3,0
psychic,fairy,20.2,3,0
psychic,fairy,48.4,3,0
bug,water,1.7,3,0
bug,flying,3.6,3,0
grass,,4.5,3,0
grass,fighting,39.2,3,0
normal,,24,3,0
normal,,46.5,3,0
normal,,130.5,3,0
bug,ground,5.5,3,0
bug,flying,12,3,0
bug,ghost,1.2,3,0
normal,,16.3,3,0
normal,,40.5,3,0
normal,,84,3,0
fighting,,86.4,3,0
fighting,,253.8,3,0
normal,fairy,2,3,0
rock,,97,3,0
normal,,11,3,0
normal,,32.6,3,0
dark,ghost,11,3,0
steel,fairy,11.5,3,0
steel,rock,60,3,0
steel,rock,120,3,0
steel,rock,360,3,0
fighting,psychic,11.2,3,0
fighting,psychic,31.5,3,0
electric,,15.2,3,0
electric,,40.2,3,0
electric,,4.2,3,0
electric,,4.2,3,0
bug,,17.7,3,0
bug,,17.7,3,0
grass,poison,2,3,0
poison,,10.3,3,0
poison,,80,3,0
water,dark,20.8,3,0
water,dark,88.8,3,0
water,,130,3,0
water,,398,3,0
fire,ground,24,3,0
fire,ground,220,3,0
fire,,80.4,3,0
psychic,,30.6,3,0
psychic,,71.5,3,0
normal,,5,3,0
ground,,15,3,0
ground,dragon,15.3,3,0
ground,dragon,82,3,0
grass,,51.3,3,0
grass,dark,77.4,3,0
normal,flying,1.2,3,0
dragon,flying,20.6,3,0
normal,,40.3,3,0
poison,,52.5,3,0
rock,psychic,168,3,0
rock,psychic,154,3,0
water,ground,1.9,3,0
water,ground,23.6,3,0
water,,11.5,3,0
water,dark,32.8,3,0
ground,psychic,21.5,3,0
ground,psychic,108,3,0
rock,grass,23.8,3,0
rock,grass,60.4,3,0
rock,bug,12.5,3,0
rock,bug,68.2,3,0
water,,7.4,3,0
water,,162,3,0
normal,,0.8,3,0
normal,,22,3,0
ghost,,2.3,3,0
ghost,,12.5,3,0
ghost,,15,3,0
ghost,,30.6,3,0
grass,flying,100,3,0
psychic,,1,3,0
dark,,47,3,0
psychic,,14,3,0
ice,,16.8,3,0
ice,,256.5,3,0
ice,water,39.5,3,0
ice,water,87.6,3,0
ice,water,150.6,3,0
water,,52.5,3,0
water,,27,3,0
water,,22.6,3,0
water,rock,23.4,3,0
water,,8.7,3,0
dragon,,42.1,3,0
dragon,,110.5,3,0
dragon,flying,102.6,3,0
steel,psychic,95.2,3,0
steel,psychic,202.5,3,0
steel,psychic,550,3,0
rock,,230,3,1
ice,,175,3,1
steel,,205,3,1
dragon,psychic,40,3,1
dragon,psychic,60,3,1
water,,352,3,1
ground,,950,3,1
dragon,flying,206.5,3,1
steel,psychic,1.1,3,1
psychic,,60.8,3,1
grass,,10.2,4,0
grass,,97,4,0
grass,ground,310,4,0
fire,,6.2,4,0
fire,fighting,22,4,0
fire,fighting,55,4,0
water,,5.2,4,0
water,,23,4,0
water,steel,84.5,4,0
normal,flying,2,4,0
normal,flying,15.5,4,0
normal,flying,24.9,4,0
normal,,20,4,0
normal,water,31.5,4,0
bug,,2.2,4,0
bug,,25.5,4,0
electric,,9.5,4,0
electric,,30.5,4,0
electric,,42,4,0
grass,poison,1.2,4,0
grass,poison,14.5,4,0
rock,,31.5,4,0
rock,,102.5,4,0
rock,steel,57,4,0
rock,steel,149.5,4,0
bug,,3.4,4,0
bug,grass,6.5,4,0
bug,flying,23.3,4,0
bug,flying,5.5,4,0
bug,flying,38.5,4,0
electric,,3.9,4,0
water,,29.5,4,0
water,,33.5,4,0
grass,,3.3,4,0
grass,,9.3,4,0
water,,6.3,4,0
water,ground,29.9,4,0
normal,,20.3,4,0
ghost,flying,1.2,4,0
ghost,flying,15,4,0
normal,,5.5,4,0
normal,,33.3,4,0
ghost,,4.4,4,0
dark,flying,27.3,4,0
normal,,3.9,4,0
normal,,43.8,4,0
psychic,,0.6,4,0
poison,dark,19.2,4,0
poison,dark,38,4,0
steel,psychic,60.5,4,0
steel,psychic,187,4,0
rock,,15,4,0
psychic,fairy,13,4,0
normal,,24.4,4,0
normal,flying,1.9,4,0
ghost,dark,108,4,0
dragon,ground,20.5,4,0
dragon,ground,56,4,0
dragon,ground,95,4,0
normal,,105,4,0
fighting,,20.2,4,0
fighting,steel,54,4,0
ground,,49.5,4,0
ground,,300,4,0
poison,bug,12,4,0
poison,dark,61.5,4,0
poison,fighting,23,4,0
poison,fighting,44.4,4,0
grass,,27,4,0
water,,7,4,0
water,,24,4,0
water,flying,65,4,0
grass,ice,50.5,4,0
grass,ice,135.5,4,0
dark,ice,34,4,0
electric,steel,180,4,0
normal,,140,4,0
ground,rock,282.8,4,0
grass,,128.6,4,0
electric,,138.6,4,0
fire,,68,4,0
fairy,flying,38,4,0
bug,flying,51.5,4,0
grass,,25.5,4,0
ice,,25.9,4,0
ground,flying,42.5,4,0
ice,ground,291,4,0
normal,,34,4,0
psychic,fighting,52,4,0
rock,steel,340,4,0
ghost,,106.6,4,0
ice,ghost,26.6,4,0
electric,ghost,0.3,4,0
psychic,,0.3,4,1
psychic,,0.3,4,1
psychic,,0.3,4,1
steel,dragon,683,4,1
water,dragon,336,4,1
fire,steel,430,4,1
normal,,420,4,1
ghost,dragon,750,4,1
psychic,,85.6,4,1
water,,3.1,4,0
water,,1.4,4,1
dark,,50.5,4,1
grass,grass,2.1,4,1
normal,,320,4,1
psychic,fire,4,5,1
grass,,8.1,5,0
grass,,16,5,0
grass,,63,5,0
fire,,9.9,5,0
fire,fighting,55.5,5,0
fire,fighting,150,5,0
water,,5.9,5,0
water,,24.5,5,0
water,,94.6,5,0
normal,,11.6,5,0
normal,,27,5,0
normal,,4.1,5,0
normal,,14.7,5,0
normal,,61,5,0
dark,,10.1,5,0
dark,,37.5,5,0
grass,,10.5,5,0
grass,,30.5,5,0
fire,,11,5,0
fire,,28,5,0
water,,13.5,5,0
water,,29,5,0
psychic,,23.3,5,0
psychic,,60.5,5,0
normal,flying,2.1,5,0
